iter	Passed	Remaining
0	155	155601
1	159	79419
2	182	60523
3	184	45931
4	187	37261
5	192	31887
6	194	27659
7	197	24472
8	200	22033
9	206	20401
10	213	19223
11	216	17803
12	223	16936
13	225	15886
14	228	14979
15	233	14366
16	236	13674
17	238	13027
18	241	12464
19	245	12044
20	248	11587
21	251	11159
22	254	10800
23	256	10437
24	262	10244
25	265	9931
26	267	9636
27	269	9362
28	275	9238
29	278	9006
30	281	8807
31	285	8624
32	290	8519
33	293	8328
34	295	8157
35	299	8017
36	304	7915
37	307	7783
38	309	7632
39	312	7490
40	316	7398
41	320	7300
42	322	7185
43	325	7075
44	327	6960
45	331	6882
46	334	6777
47	336	6678
48	339	6580
49	343	6520
50	346	6448
51	348	6360
52	351	6277
53	362	6348
54	364	6271
55	368	6207
56	372	6168
57	375	6095
58	377	6025
59	380	5963
60	385	5932
61	388	5877
62	391	5817
63	393	5757
64	408	5875
65	415	5877
66	419	5841
67	421	5781
68	424	5728
69	429	5706
70	433	5674
71	436	5621
72	438	5571
73	495	6202
74	516	6375
75	1071	13032
76	1074	12875
77	1077	12731
78	1081	12607
79	1084	12470
80	1086	12331
81	1091	12216
82	1092	12071
83	1111	12115
84	1113	11990
85	1116	11870
86	1175	12337
87	1178	12211
88	1185	12134
89	1188	12014
90	1191	11903
91	1194	11785
92	1203	11739
93	1206	11625
94	1208	11513
95	1210	11403
96	1346	12537
97	1349	12417
98	1351	12299
99	1362	12266
100	1366	12160
101	1373	12089
102	1376	11986
103	1467	12645
104	1470	12531
105	1472	12419
106	1478	12341
107	1481	12233
108	1484	12134
109	1486	12030
110	1491	11946
111	1494	11849
112	1496	11750
113	1499	11653
114	1505	11584
115	1604	12227
116	1606	12123
117	1610	12035
118	1615	11957
119	1617	11863
120	1621	11778
121	1623	11683
122	1634	11654
123	1650	11661
124	1652	11570
125	1659	11510
126	1699	11683
127	1702	11595
128	1721	11623
129	1723	11536
130	1728	11465
131	1730	11380
132	1733	11297
133	1738	11235
134	1771	11353
135	1774	11271
136	1777	11195
137	1782	11136
138	1786	11063
139	1788	10988
140	1792	10917
141	1796	10854
142	1799	10783
143	1801	10711
144	1805	10645
145	1852	10837
146	1859	10787
147	1861	10715
148	1866	10658
149	1871	10602
150	1873	10536
151	1876	10469
152	1879	10403
153	1884	10351
154	1886	10285
155	1891	10231
156	2292	12308
157	2294	12229
158	2299	12161
159	2303	12094
160	2305	12013
161	2308	11941
162	2310	11866
163	2318	11816
164	2320	11743
165	2323	11671
166	2331	11629
167	2506	12413
168	2508	12337
169	2511	12261
170	2513	12186
171	2520	12134
172	2522	12060
173	2526	11992
174	2528	11920
175	2531	11851
176	2537	11796
177	2539	11729
178	2629	12062
179	2835	12917
180	2896	13106
181	2901	13040
182	2910	12993
183	2917	12938
184	2932	12919
185	2935	12844
186	2939	12777
187	2947	12730
188	2949	12658
189	3109	13257
190	3116	13199
191	3121	13136
192	3124	13063
193	3132	13015
194	3138	12957
195	3145	12901
196	3148	12832
197	3152	12768
198	3160	12720
199	3303	13213
200	3305	13140
201	3308	13070
202	3314	13012
203	3320	12956
204	3323	12890
205	3327	12824
206	3333	12768
207	3337	12707
208	3360	12716
209	3362	12648
210	3364	12581
211	3372	12534
212	3374	12469
213	3409	12522
214	3415	12470
215	3419	12410
216	3421	12346
217	3426	12291
218	3428	12228
219	3480	12338
220	3495	12321
221	3499	12263
222	3504	12211
223	3507	12149
224	3509	12088
225	3512	12027
226	3521	11992
227	3525	11937
228	3527	11877
229	3530	11819
230	3588	11947
231	3592	11893
232	3594	11833
233	3600	11786
234	3606	11738
235	3608	11682
236	3611	11628
237	3615	11574
238	3621	11530
239	3624	11476
240	3626	11420
241	3695	11573
242	3698	11521
243	3700	11465
244	3705	11418
245	3712	11379
246	3715	11327
247	3718	11276
248	3726	11240
249	3729	11187
250	3731	11135
251	3734	11083
252	3755	11088
253	3758	11039
254	3761	10990
255	3764	10939
256	3770	10900
257	3776	10860
258	3778	10810
259	3791	10792
260	3794	10743
261	3796	10694
262	3843	10770
263	3851	10737
264	3853	10689
265	3857	10644
266	3860	10598
267	3863	10551
268	3865	10505
269	3883	10499
270	3885	10453
271	3888	10406
272	3891	10361
273	3893	10316
274	3895	10270
275	3898	10226
276	3900	10181
277	3904	10139
278	3906	10094
279	3908	10051
280	3911	10008
281	3921	9983
282	3923	9941
283	3926	9898
284	3931	9862
285	3933	9820
286	3936	9778
287	3938	9737
288	3941	9695
289	3950	9672
290	3953	9632
291	3955	9591
292	3976	9594
293	3979	9555
294	3981	9515
295	3985	9478
296	3994	9455
297	3997	9417
298	4000	9379
299	4004	9343
300	4009	9310
301	4011	9272
302	4015	9236
303	4062	9300
304	4066	9267
305	4069	9230
306	4072	9192
307	4075	9156
308	4082	9129
309	4084	9091
310	4087	9055
311	4089	9018
