iter	Passed	Remaining
0	2	239
1	4	243
2	7	233
3	8	212
4	11	214
5	13	210
6	15	208
7	18	207
8	20	204
9	22	202
10	24	199
11	26	196
12	28	193
13	31	190
14	54	310
15	56	299
16	59	288
17	61	278
18	63	270
19	65	261
20	67	254
21	69	248
22	72	241
23	74	235
24	76	230
25	78	224
26	81	219
27	83	214
28	85	209
29	88	207
30	91	203
31	93	198
32	95	194
33	97	190
34	100	186
35	102	182
36	104	178
37	107	175
38	109	171
39	112	168
40	114	164
41	115	158
42	118	157
43	120	153
44	123	150
45	125	147
46	127	143
47	129	140
48	131	137
49	134	134
50	137	131
51	139	128
52	141	125
53	143	122
54	145	118
55	147	115
56	149	112
57	151	109
58	153	106
59	156	104
60	158	101
61	160	98
62	162	95
63	164	92
64	167	90
65	169	87
66	171	84
67	173	81
68	176	79
69	179	76
70	181	74
71	184	71
72	186	69
73	189	66
74	192	64
75	194	61
76	197	58
77	199	56
78	202	53
79	205	51
80	207	48
81	209	45
82	211	43
83	213	40
84	216	38
85	244	39
86	247	36
87	250	34
88	253	31
89	255	28
90	257	25
91	260	22
92	262	19
93	264	16
94	266	14
95	268	11
96	271	8
97	273	5
98	275	2
99	277	0
